Date,Open,High,Low,Close,Adj Close,Volume,Year,Month,Quarter,Day,DayOfWeek,Lag_1,Lag_7,Lag_30,Rolling_Mean_7,Rolling_Mean_30,Rolling_STD_7,Rolling_STD_30,SMA_20,SMA_50,EMA_20,RSI_14,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Lower,BB_Width,ATR_14,Momentum_10
2001-12-12,115.793503,117.791588,114.780113,117.782028,70.380226,8344883,2001,12,4,12,2,116.156792,109.110901,103.871895,115.124284,110.19247893333333,1.9436539600071614,3.460444308258855,111.54397735,105.40401518,111.86663616180047,68.35128814611446,2.9333740383686404,2.605305786660154,0.3280682517084865,117.55481634544762,105.53313835455239,12.021677990895228,2.4105450714285714,10.564055999999994
2001-12-13,116.20459,116.921608,114.837479,114.961761,68.694977,8431806,2001,12,4,13,3,117.782028,111.510513,103.317398,115.61731942857143,110.58062436666665,1.1497992321713986,3.3125944451092515,111.82600439999999,105.84952191999999,112.1614099559147,59.394177583020024,2.824471313080096,2.6491388919441428,0.17533242113595326,117.92636142995306,105.72564737004691,12.200714059906147,2.5081957857142854,5.564055999999994
2001-12-14,115.487572,116.137665,114.158699,115.774376,69.180534,7359656,2001,12,4,14,4,114.961761,116.061188,105.057358,115.5763462857143,110.9378583,1.13637768917214,3.2740635879125484,112.12954140000002,106.30439756,112.5055019601133,59.19074740959787,2.7717849463944333,2.673668102834201,0.09811684356023243,118.38734809413063,105.87173470586941,12.515613388261215,2.5676052857142855,5.267685
2001-12-17,114.866158,116.768639,114.866158,116.003822,69.317657,6490535,2001,12,4,17,0,115.774376,114.856598,104.684509,115.74023542857142,111.31516873333334,1.097330537272142,3.179427376344357,112.45650099999997,106.75028667999999,112.83867529724537,64.8379082291782,2.717222545755874,2.6823789914185356,0.03484355433733821,118.81062825792904,106.10237374207091,12.70825451585813,2.549167214285713,6.892921000000001
2001-12-18,116.166351,117.562141,116.013382,116.826004,69.808968,5853625,2001,12,4,18,1,116.003822,115.105164,105.133842,115.98606971428572,111.70490746666665,1.123783938847222,3.111478257978412,112.80066909999998,107.20344158,113.21842088798391,71.97201970486607,2.7090958951614965,2.687722372167128,0.021373522994368344,119.32487453290858,106.27646366709138,13.048410865817203,2.5047804999999985,5.315490999999994
2001-12-19,116.5392,119.216064,115.688339,118.441681,70.774406,8424379,2001,12,4,19,2,116.826004,114.397705,108.61377,116.56378057142857,112.0325045,1.207491720260151,3.287211394755099,113.2045887,107.71491374000001,113.71587423198545,71.22980322990576,2.8007418880557964,2.710326275344862,0.09041561271093457,120.08403392181924,106.32514347818076,13.758890443638478,2.569653214285713,2.3804930000000013
2001-12-20,118.441681,118.546844,116.778206,117.304016,70.094574,6636661,2001,12,4,20,3,118.441681,116.156792,108.843208,116.72766971428571,112.31453143333333,1.2208268210107198,3.366150207972589,113.60420645000002,108.20152950000002,114.05760201941541,65.93456651963746,2.7498731145335995,2.7182356431826094,0.031637471350990154,120.45999420616191,106.74841869383813,13.711575512323776,2.5498494285714273,2.447417999999999
2001-12-21,117.304016,118.068832,116.357552,116.634796,69.694687,9057419,2001,12,4,21,4,117.304016,117.782028,108.80497,116.56377942857144,112.57552563333334,1.129265448074169,3.3881241618896296,113.922084,108.63365184,114.30304906518538,68.25984500660289,2.6252960057679644,2.6996477156996805,-0.07435170993171614,120.71764834499686,107.12651965500314,13.591128689993724,2.509560142857142,1.5296319999999923
2001-12-24,116.682602,117.093689,115.774376,116.108986,69.380516,1730502,2001,12,4,24,0,116.634796,114.961761,109.063095,116.72766871428571,112.81038866666668,0.9222977506090274,3.3804484941736126,114.16682585000001,109.02772442,114.47504305897725,62.27667519466994,2.4558299974100635,2.6508841720417573,-0.19505417463169383,120.90407825066502,107.429573449335,13.474504801330028,2.375717142857142,1.7112809999999996
2001-12-26,116.634796,118.26004,116.453156,117.017204,69.923203,3928462,2001,12,4,26,2,116.108986,115.774376,109.808792,116.90521557142857,113.05066906666666,0.8224153778014025,3.415740446873189,114.55879515,109.41778163999999,114.71715362478893,53.168545644655026,2.367521255848615,2.594211588803129,-0.2266903329545138,120.97861421125663,108.13897608874336,12.839638122513264,2.164709285714285,0.8604120000000108
2001-12-27,117.351814,118.479927,117.246651,118.068832,70.551567,4002205,2001,12,4,27,3,117.017204,116.003822,111.567879,117.200217,113.2673675,0.8155278703678156,3.522957944707533,115.10133814999999,109.8317396,115.03636108909475,60.75543310701692,2.35524374886063,2.546418020814629,-0.19117427195399905,120.6891534793027,109.51352282069728,11.175630658605428,2.1394434999999987,0.2868040000000036
2001-12-28,118.068832,118.432121,116.969406,117.495216,70.208855,4407739,2001,12,4,28,4,118.068832,116.826004,109.32122,117.29581871428572,113.53983403333334,0.8034846472596237,3.5233273371608083,115.50621370000002,110.21414865999999,115.27053774727621,57.832062731688005,2.273025693541129,2.491739555359929,-0.21871386181880004,120.49532218621994,110.5171052137801,9.978216972439839,2.090276357142855,2.5334550000000036
2001-12-31,117.351814,117.820267,115.630974,115.640533,69.100616,3674284,2001,12,4,31,0,117.495216,118.441681,109.703636,116.89565471428571,113.7377306,0.8346233981178843,3.466702992377458,115.7629058,110.59082161999999,115.30577539039275,53.787874077663695,2.034754491298898,2.400342542547723,-0.365588051248825,120.1623845807799,111.3634270192201,8.798957561559803,2.1380772142857123,-0.13384299999999882
2002-01-02,115.296364,116.156792,114.531548,116.156792,69.409088,7178489,2002,1,1,2,2,115.640533,117.304016,109.46463,116.73176557142858,113.96080266666667,0.8534946702607646,3.396867189524871,116.11520035000001,110.95124232,115.38682459130771,50.0,1.8660697432025586,2.2934879826786903,-0.42741823947613167,119.20548951402618,113.02491118597383,6.1805783280523485,2.0438410714285697,0.15296999999999628
